name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"log_lik[54]",-4.4,0.0013,0.069,-4.5,-4.4,-4.3,2677,758,1.0
"log_lik[55]",-1.1,0.0020,0.099,-1.3,-1.1,-0.93,2410,682,1.0
"log_lik[56]",-7.8,0.0018,0.091,-7.9,-7.7,-7.6,2515,712,1.0
"log_lik[57]",-4.5,0.0015,0.088,-4.7,-4.5,-4.4,3431,971,1.00
"log_lik[58]",-6.1,0.0020,0.11,-6.3,-6.1,-5.9,3135,888,1.00
"log_lik[59]",-1.0,0.0017,0.091,-1.2,-1.00,-0.86,2722,771,1.0
"log_lik[60]",-7.2,0.0032,0.18,-7.5,-7.2,-6.9,3213,910,1.00
"log_lik[61]",-6.1,0.0020,0.13,-6.3,-6.1,-5.9,3985,1128,1.0
"log_lik[62]",-6.6,0.0041,0.25,-7.0,-6.6,-6.2,3806,1078,1.0
"log_lik[63]",-7.0,0.0017,0.086,-7.2,-7.0,-6.9,2470,699,1.0
"log_lik[64]",-3.4,0.0010,0.059,-3.5,-3.4,-3.3,3219,911,1.0
"log_lik[65]",-3.7,0.0013,0.066,-3.8,-3.7,-3.5,2796,792,1.0
"log_lik[66]",-1.6,0.0031,0.17,-1.9,-1.6,-1.3,3095,876,1.0
"log_lik[67]",-5.7,0.0023,0.13,-5.9,-5.7,-5.5,3542,1003,1.0
"log_lik[68]",-6.8,0.0019,0.12,-7.0,-6.8,-6.6,3558,1007,1.0
"log_lik[69]",-3.3,0.0012,0.064,-3.4,-3.3,-3.2,3014,853,1.0
"log_lik[70]",-6.1,0.0017,0.091,-6.2,-6.0,-5.9,2916,826,1.0
"log_lik[71]",-7.3,0.0042,0.27,-7.8,-7.3,-6.9,4182,1184,1.0
"log_lik[72]",-4.4,0.0035,0.20,-4.8,-4.4,-4.1,3389,960,1.00
"log_lik[73]",-0.96,0.0016,0.086,-1.1,-0.95,-0.82,2747,778,1.0
"log_lik[74]",-0.95,0.0016,0.086,-1.1,-0.94,-0.81,2752,779,1.0
"log_lik[75]",-6.3,0.0019,0.13,-6.5,-6.3,-6.1,4399,1245,1.0
"log_lik[76]",-3.3,0.0012,0.065,-3.4,-3.3,-3.2,2957,837,1.0
"log_lik[77]",-7.2,0.0024,0.15,-7.4,-7.2,-6.9,4192,1187,1.0
"log_lik[78]",-5.5,0.0015,0.078,-5.7,-5.5,-5.4,2835,803,1.0
"log_lik[79]",-0.98,0.0016,0.086,-1.1,-0.97,-0.84,2740,776,1.0
"log_lik[80]",-3.1,0.0011,0.062,-3.2,-3.1,-3.0,3083,873,1.0
"log_lik[81]",-2.3,0.00099,0.057,-2.4,-2.3,-2.2,3290,931,1.00
"log_lik[82]",-4.5,0.0013,0.068,-4.6,-4.5,-4.4,2592,734,1.0
"log_lik[83]",-6.2,0.0014,0.076,-6.3,-6.2,-6.1,2852,807,1.0
"log_lik[84]",-5.8,0.0018,0.11,-6.0,-5.8,-5.7,3580,1014,1.0
"log_lik[85]",-4.9,0.0014,0.074,-5.1,-4.9,-4.8,2772,785,1.0
"log_lik[86]",-2.3,0.00099,0.057,-2.4,-2.3,-2.2,3290,931,1.00
"log_lik[87]",-6.1,0.0023,0.14,-6.3,-6.1,-5.9,3860,1093,1.0
"log_lik[88]",-0.79,0.0014,0.083,-0.93,-0.79,-0.66,3792,1074,1.00
"log_lik[89]",-0.84,0.0014,0.085,-0.98,-0.83,-0.70,3674,1040,1.00
"log_lik[90]",-0.86,0.0014,0.088,-1.0,-0.86,-0.73,3685,1043,1.00
"log_lik[91]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[92]",-1.1,0.0020,0.11,-1.3,-1.1,-0.93,3124,884,1.00
"log_lik[93]",-12,0.025,1.5,-15,-12,-10.0,3558,1007,1.0
"log_lik[94]",-5.2,0.0014,0.071,-5.3,-5.2,-5.1,2469,699,1.0
"log_lik[95]",-5.9,0.0024,0.12,-6.1,-5.9,-5.7,2630,745,1.0
"log_lik[96]",-2.2,0.0011,0.066,-2.3,-2.2,-2.1,3407,965,1.0
"log_lik[97]",-0.85,0.0014,0.088,-1.0,-0.85,-0.72,3708,1050,1.00
"log_lik[98]",-0.87,0.0015,0.088,-1.0,-0.86,-0.73,3677,1041,1.00
"log_lik[99]",-3.0,0.0013,0.066,-3.1,-3.0,-2.9,2718,769,1.0
"log_lik[100]",-0.82,0.0014,0.085,-0.96,-0.81,-0.68,3747,1061,1.00
"log_lik[101]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[102]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[103]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[104]",-5.0,0.0024,0.15,-5.3,-5.0,-4.8,4026,1140,1.00
"log_lik[105]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[106]",-0.90,0.0015,0.089,-1.1,-0.90,-0.76,3595,1018,1.00
"log_lik[107]",-3.5,0.0013,0.066,-3.6,-3.5,-3.4,2562,725,1.0
"log_lik[108]",-0.79,0.0014,0.083,-0.94,-0.79,-0.66,3784,1071,1.00
"log_lik[109]",-4.9,0.0017,0.11,-5.1,-4.9,-4.8,3773,1068,1.00
"log_lik[110]",-3.7,0.0016,0.084,-3.9,-3.7,-3.6,2735,774,1.0
"log_lik[111]",-0.80,0.0014,0.084,-0.94,-0.79,-0.66,3776,1069,1.00
"log_lik[112]",-5.2,0.0015,0.081,-5.3,-5.2,-5.1,3067,868,1.0
"log_lik[113]",-0.45,0.00094,0.061,-0.56,-0.45,-0.36,4148,1174,1.00
"log_lik[114]",-0.85,0.0014,0.087,-1.0,-0.85,-0.71,3714,1052,1.00
"log_lik[115]",-6.2,0.0018,0.099,-6.4,-6.2,-6.1,2885,817,1.0
"log_lik[116]",-2.5,0.0013,0.073,-2.6,-2.5,-2.4,3135,888,1.0
"log_lik[117]",-3.0,0.0013,0.068,-3.1,-3.0,-2.9,2822,799,1.0
"log_lik[118]",-2.7,0.0012,0.068,-2.8,-2.7,-2.6,3028,857,1.0
"log_lik[119]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[120]",-0.86,0.0014,0.088,-1.0,-0.86,-0.72,3692,1045,1.00
"log_lik[121]",-5.0,0.0015,0.089,-5.2,-5.0,-4.9,3332,943,1.00
"log_lik[122]",-6.7,0.0031,0.18,-7.0,-6.6,-6.4,3117,882,1.00
"log_lik[123]",-0.88,0.0015,0.090,-1.0,-0.88,-0.74,3676,1041,1.00
"log_lik[124]",-0.85,0.0014,0.087,-1.0,-0.85,-0.71,3714,1052,1.00
"log_lik[125]",-0.88,0.0015,0.087,-1.0,-0.88,-0.75,3553,1006,1.00
"log_lik[126]",-0.90,0.0015,0.089,-1.1,-0.89,-0.76,3604,1020,1.00
"log_lik[127]",-0.79,0.0014,0.083,-0.94,-0.79,-0.66,3785,1072,1.00
"log_lik[128]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[129]",-0.96,0.0016,0.093,-1.1,-0.96,-0.81,3461,980,1.00
"log_lik[130]",-4.0,0.0017,0.092,-4.1,-3.9,-3.8,3005,851,1.00
"log_lik[131]",-4.4,0.0015,0.077,-4.5,-4.4,-4.3,2534,717,1.0
"log_lik[132]",-2.7,0.0012,0.067,-2.8,-2.7,-2.6,2906,823,1.0
"log_lik[133]",-0.80,0.0014,0.084,-0.94,-0.79,-0.66,3776,1069,1.00
"log_lik[134]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[135]",-2.2,0.0011,0.065,-2.3,-2.2,-2.1,3409,965,1.0
"log_lik[136]",-1.1,0.0018,0.10,-1.2,-1.1,-0.91,3324,941,1.00
"log_lik[137]",-5.8,0.0025,0.14,-6.0,-5.7,-5.6,3418,968,1.00
"log_lik[138]",-0.85,0.0014,0.087,-1.00,-0.84,-0.71,3724,1054,1.00
"log_lik[139]",-2.3,0.0011,0.064,-2.4,-2.3,-2.2,3341,946,1.0
"log_lik[140]",-2.8,0.0012,0.067,-2.9,-2.8,-2.7,3034,859,1.0
"log_lik[141]",-5.2,0.0014,0.074,-5.3,-5.2,-5.1,2834,803,1.0
"log_lik[142]",-0.73,0.0013,0.071,-0.85,-0.73,-0.62,2905,822,1.0
"log_lik[143]",-2.8,0.0011,0.061,-2.9,-2.8,-2.7,3120,883,1.0
"log_lik[144]",-1.2,0.0020,0.10,-1.3,-1.2,-1.0,2655,752,1.0
"log_lik[145]",-1.0,0.0018,0.093,-1.2,-1.0,-0.88,2709,767,1.0
"log_lik[146]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[147]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[148]",-3.1,0.0011,0.063,-3.2,-3.1,-3.0,3078,871,1.0
"log_lik[149]",-2.3,0.00099,0.057,-2.4,-2.3,-2.2,3290,931,1.00
"log_lik[150]",-4.9,0.0016,0.086,-5.1,-4.9,-4.8,2888,818,1.0
"log_lik[151]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[152]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[153]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[154]",-0.89,0.0015,0.081,-1.0,-0.88,-0.76,2788,789,1.0
"log_lik[155]",-0.97,0.0017,0.088,-1.1,-0.96,-0.83,2740,776,1.0
"log_lik[156]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[157]",-1.1,0.0020,0.099,-1.2,-1.1,-0.92,2411,683,1.0
"log_lik[158]",-1.3,0.0023,0.11,-1.5,-1.3,-1.1,2413,683,1.0
"log_lik[159]",-0.94,0.0016,0.085,-1.1,-0.94,-0.80,2756,780,1.0
"log_lik[160]",-5.9,0.0014,0.080,-6.0,-5.9,-5.8,3108,880,1.0
"log_lik[161]",-6.2,0.0016,0.091,-6.4,-6.2,-6.1,3270,926,1.0
"log_lik[162]",-4.6,0.0014,0.073,-4.7,-4.6,-4.5,2670,756,1.0
"log_lik[163]",-0.82,0.0014,0.075,-0.95,-0.82,-0.70,2838,803,1.0
"log_lik[164]",-2.9,0.0013,0.064,-3.0,-2.9,-2.8,2520,713,1.0
"log_lik[165]",-3.3,0.0012,0.065,-3.4,-3.3,-3.2,2937,832,1.0
"log_lik[166]",-3.6,0.0013,0.066,-3.8,-3.6,-3.5,2659,753,1.0
"log_lik[167]",-3.9,0.0013,0.066,-4.0,-3.9,-3.8,2750,778,1.0
"log_lik[168]",-1.4,0.0025,0.12,-1.6,-1.4,-1.2,2436,690,1.0
"log_lik[169]",-1.3,0.0022,0.11,-1.5,-1.3,-1.1,2523,714,1.0
"log_lik[170]",-0.95,0.0016,0.086,-1.1,-0.95,-0.81,2750,779,1.0
"log_lik[171]",-4.8,0.0014,0.079,-5.0,-4.8,-4.7,3082,872,1.0
"log_lik[172]",-5.8,0.0021,0.13,-6.0,-5.8,-5.6,3676,1041,1.0
"log_lik[173]",-0.96,0.0016,0.086,-1.1,-0.96,-0.82,2745,777,1.0
"log_lik[174]",-2.7,0.0011,0.062,-2.8,-2.7,-2.6,3018,854,1.0
"log_lik[175]",-4.7,0.0013,0.068,-4.9,-4.7,-4.6,2697,763,1.0
"log_lik[176]",-5.5,0.0014,0.078,-5.6,-5.5,-5.3,3032,858,1.0
"log_lik[177]",-2.2,0.0010,0.057,-2.3,-2.2,-2.1,3234,916,1.00
"log_lik[178]",-8.6,0.0087,0.53,-9.5,-8.6,-7.8,3657,1035,1.00
"log_lik[179]",-3.6,0.0012,0.065,-3.7,-3.6,-3.5,2997,849,1.0
"log_lik[180]",-4.5,0.0013,0.067,-4.7,-4.5,-4.4,2641,748,1.0
"log_lik[181]",-0.94,0.0016,0.085,-1.1,-0.94,-0.80,2756,780,1.0
"log_lik[182]",-6.3,0.0017,0.11,-6.5,-6.3,-6.1,4173,1182,1.0
"log_lik[183]",-0.87,0.0015,0.081,-1.0,-0.87,-0.74,2795,791,1.0
"log_lik[184]",-2.2,0.0010,0.057,-2.3,-2.2,-2.1,3234,916,1.00
"log_lik[185]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[186]",-2.3,0.00096,0.056,-2.4,-2.3,-2.2,3321,940,1.00
"log_lik[187]",-3.2,0.0013,0.066,-3.3,-3.2,-3.1,2590,733,1.0
"log_lik[188]",-3.6,0.0013,0.069,-3.7,-3.6,-3.5,2650,750,1.0
"log_lik[189]",-3.9,0.0013,0.069,-4.0,-3.9,-3.8,2658,753,1.0
"log_lik[190]",-4.7,0.0013,0.068,-4.8,-4.7,-4.6,2604,737,1.0
"log_lik[191]",-2.5,0.0012,0.060,-2.6,-2.5,-2.4,2361,668,1.0
"log_lik[192]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[193]",-0.88,0.0015,0.081,-1.0,-0.87,-0.75,2793,791,1.0
"log_lik[194]",-3.1,0.0011,0.063,-3.2,-3.1,-3.0,3050,864,1.0
"log_lik[195]",-3.1,0.0011,0.062,-3.2,-3.1,-3.0,3077,871,1.0
"log_lik[196]",-0.99,0.0017,0.086,-1.1,-0.98,-0.85,2737,775,1.0
"log_lik[197]",-4.8,0.0014,0.073,-4.9,-4.8,-4.7,2650,750,1.0
"log_lik[198]",-1.1,0.0019,0.097,-1.2,-1.1,-0.92,2689,761,1.0
"log_lik[199]",-3.9,0.0013,0.066,-4.0,-3.9,-3.8,2638,747,1.0
"log_lik[200]",-5.2,0.0015,0.080,-5.3,-5.2,-5.0,2948,835,1.0
"log_lik[201]",-5.8,0.0014,0.072,-5.9,-5.8,-5.7,2790,790,1.0
"log_lik[202]",-4.6,0.0013,0.067,-4.7,-4.6,-4.5,2831,802,1.0
"log_lik[203]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[204]",-4.9,0.0017,0.091,-5.1,-4.9,-4.8,2985,845,1.0
"log_lik[205]",-3.5,0.0012,0.066,-3.6,-3.5,-3.4,2881,816,1.0
"log_lik[206]",-4.8,0.0016,0.087,-4.9,-4.8,-4.6,2893,819,1.0
"log_lik[207]",-8.0,0.0050,0.33,-8.6,-7.9,-7.5,4314,1221,1.00
"log_lik[208]",-2.3,0.00098,0.056,-2.4,-2.3,-2.2,3302,935,1.00
"log_lik[209]",-0.88,0.0015,0.081,-1.0,-0.87,-0.75,2793,791,1.0
"log_lik[210]",-0.94,0.0016,0.085,-1.1,-0.93,-0.80,2757,781,1.0
"log_lik[211]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[212]",-1.2,0.0020,0.10,-1.3,-1.1,-0.99,2660,753,1.0
"log_lik[213]",-3.4,0.0011,0.061,-3.5,-3.4,-3.3,3135,887,1.0
"log_lik[214]",-2.4,0.00092,0.054,-2.5,-2.4,-2.3,3416,967,1.00
"log_lik[215]",-4.5,0.0013,0.067,-4.6,-4.5,-4.4,2669,756,1.0
"log_lik[216]",-2.5,0.00074,0.046,-2.6,-2.5,-2.4,3904,1105,1.00
"log_lik[217]",-5.4,0.0018,0.11,-5.6,-5.4,-5.3,3652,1034,1.00
"log_lik[218]",-1.2,0.0022,0.11,-1.4,-1.2,-1.0,2394,678,1.0
"log_lik[219]",-4.5,0.0013,0.068,-4.6,-4.5,-4.4,2656,752,1.0
"log_lik[220]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,679,1.0
"log_lik[221]",-5.9,0.0013,0.068,-6.0,-5.9,-5.8,2650,750,1.0
"log_lik[222]",-7.4,0.0017,0.083,-7.5,-7.4,-7.2,2434,689,1.0
"log_lik[223]",-6.3,0.0014,0.075,-6.4,-6.3,-6.1,2827,800,1.0
"log_lik[224]",-6.4,0.0030,0.15,-6.7,-6.4,-6.2,2490,705,1.0
"log_lik[225]",-4.5,0.0013,0.068,-4.6,-4.5,-4.4,2667,755,1.0
"log_lik[226]",-4.1,0.0014,0.070,-4.2,-4.1,-4.0,2658,753,1.0
"log_lik[227]",-5.5,0.0013,0.069,-5.6,-5.5,-5.4,2739,775,1.0
"log_lik[228]",-5.5,0.0015,0.075,-5.6,-5.5,-5.4,2598,735,1.0
"log_lik[229]",-5.9,0.0022,0.11,-6.1,-5.9,-5.7,2537,718,1.0
"log_lik[230]",-8.8,0.0072,0.39,-9.5,-8.8,-8.2,2876,814,1.00
"log_lik[231]",-3.9,0.0013,0.069,-4.0,-3.9,-3.8,2658,753,1.0
"log_lik[232]",-4.2,0.0014,0.070,-4.3,-4.2,-4.1,2658,753,1.0
"log_lik[233]",-4.8,0.0013,0.068,-4.9,-4.8,-4.7,2595,735,1.0
"log_lik[234]",-5.0,0.0014,0.069,-5.1,-5.0,-4.9,2570,728,1.0
"log_lik[235]",-7.1,0.0056,0.27,-7.6,-7.0,-6.7,2396,678,1.0
"log_lik[236]",-2.4,0.0012,0.068,-2.5,-2.4,-2.3,3328,942,1.0
"log_lik[237]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[238]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[239]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[240]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[241]",-8.0,0.0074,0.44,-8.8,-8.0,-7.4,3551,1005,1.0
"log_lik[242]",-3.1,0.0013,0.072,-3.2,-3.1,-3.0,2846,806,1.0
"log_lik[243]",-5.2,0.0017,0.096,-5.4,-5.2,-5.0,3319,940,1.0
"log_lik[244]",-4.3,0.0013,0.068,-4.4,-4.3,-4.2,2570,728,1.0
"log_lik[245]",-6.2,0.0015,0.074,-6.3,-6.2,-6.1,2504,709,1.0
"log_lik[246]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[247]",-4.0,0.0014,0.076,-4.1,-4.0,-3.9,2868,812,1.0
"log_lik[248]",-1.1,0.0018,0.10,-1.2,-1.0,-0.89,3222,912,1.00
"log_lik[249]",-2.4,0.0012,0.068,-2.5,-2.4,-2.3,3314,938,1.0
"log_lik[250]",-0.91,0.0016,0.093,-1.1,-0.91,-0.77,3304,936,1.00
"log_lik[251]",-4.7,0.0013,0.072,-4.8,-4.7,-4.6,2868,812,1.0
"log_lik[252]",-1.1,0.0018,0.10,-1.2,-1.0,-0.89,3222,912,1.00
"log_lik[253]",-3.8,0.0014,0.071,-4.0,-3.8,-3.7,2642,748,1.0
"log_lik[254]",-4.3,0.0013,0.070,-4.4,-4.3,-4.1,2801,793,1.0
"log_lik[255]",-3.8,0.0014,0.073,-3.9,-3.8,-3.7,2767,783,1.0
"log_lik[256]",-6.1,0.0029,0.18,-6.4,-6.1,-5.8,3624,1026,1.0
"log_lik[257]",-2.3,0.0012,0.068,-2.4,-2.3,-2.2,3237,916,1.0
"log_lik[258]",-1.2,0.0020,0.11,-1.3,-1.2,-0.99,3168,897,1.00
"log_lik[259]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[260]",-1.0,0.0018,0.10,-1.2,-1.0,-0.89,3224,913,1.00
"log_lik[261]",-9.8,0.016,0.94,-12,-9.7,-8.5,3481,986,1.0
"log_lik[262]",-4.0,0.0014,0.070,-4.1,-3.9,-3.8,2598,736,1.0
# Inference for Stan model: roaches2_model
# 4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
# 
# Warmup took (3.1, 0.74, 0.70, 0.71) seconds, 5.2 seconds total
# Sampling took (0.86, 0.93, 0.84, 0.90) seconds, 3.5 seconds total
# Samples were drawn using hmc with nuts.
# For each parameter, N_Eff is a crude measure of effective sample size,
# and R_hat is the potential scale reduction factor on split chains (at 
# convergence, R_hat=1).
